vector_id,video_name,frame_path,frame_pos
0,video_001,c:\Crawl\video_retrieval_project\data\masks\video_001_frame000131.jpg,131
1,video_001,c:\Crawl\video_retrieval_project\data\masks\video_001_frame000262.jpg,262
2,video_001,c:\Crawl\video_retrieval_project\data\masks\video_001_frame000393.jpg,393
3,video_002,c:\Crawl\video_retrieval_project\data\masks\video_002_frame000085.jpg,85
4,video_002,c:\Crawl\video_retrieval_project\data\masks\video_002_frame000170.jpg,170
5,video_002,c:\Crawl\video_retrieval_project\data\masks\video_002_frame000255.jpg,255
6,video_003,c:\Crawl\video_retrieval_project\data\masks\video_003_frame000101.jpg,101
7,video_003,c:\Crawl\video_retrieval_project\data\masks\video_003_frame000202.jpg,202
8,video_003,c:\Crawl\video_retrieval_project\data\masks\video_003_frame000303.jpg,303
9,video_004,c:\Crawl\video_retrieval_project\data\masks\video_004_frame000210.jpg,210
10,video_004,c:\Crawl\video_retrieval_project\data\masks\video_004_frame000420.jpg,420
11,video_004,c:\Crawl\video_retrieval_project\data\masks\video_004_frame000630.jpg,630
12,video_005,c:\Crawl\video_retrieval_project\data\masks\video_005_frame000180.jpg,180
13,video_005,c:\Crawl\video_retrieval_project\data\masks\video_005_frame000350.jpg,350
14,video_005,c:\Crawl\video_retrieval_project\data\masks\video_005_frame000520.jpg,520
15,video_006,c:\Crawl\video_retrieval_project\data\masks\video_006_frame000106.jpg,106
16,video_006,c:\Crawl\video_retrieval_project\data\masks\video_006_frame000212.jpg,212
17,video_006,c:\Crawl\video_retrieval_project\data\masks\video_006_frame000318.jpg,318
18,video_007,c:\Crawl\video_retrieval_project\data\masks\video_007_frame000132.jpg,132
19,video_007,c:\Crawl\video_retrieval_project\data\masks\video_007_frame000264.jpg,264
20,video_007,c:\Crawl\video_retrieval_project\data\masks\video_007_frame000396.jpg,396
21,video_008,c:\Crawl\video_retrieval_project\data\masks\video_008_frame000157.jpg,157
22,video_008,c:\Crawl\video_retrieval_project\data\masks\video_008_frame000314.jpg,314
23,video_008,c:\Crawl\video_retrieval_project\data\masks\video_008_frame000471.jpg,471
24,video_009,c:\Crawl\video_retrieval_project\data\masks\video_009_frame000078.jpg,78
25,video_009,c:\Crawl\video_retrieval_project\data\masks\video_009_frame000156.jpg,156
26,video_009,c:\Crawl\video_retrieval_project\data\masks\video_009_frame000234.jpg,234
27,video_010,c:\Crawl\video_retrieval_project\data\masks\video_010_frame000170.jpg,170
